name	opening_date	address					
タクパン	2016-12-05	東京都目黒区八雲1-3-12 1F					
ル・ビリーヌ	2017-06-01	東京都目黒区中町1-40-8					
パンとエスプレッソと自由形	2017-11-18	東京都目黒区自由が丘2-9-6 Luz自由が丘3F					
グテ 学芸大学店	2023-11-17	東京都目黒区鷹番3-8-1 Rhills					
MAISON KUROSU 学芸大学店	2025-10-04	東京都目黒区碑文谷6-7-22					
玄米マーケット回	2025-06-20	東京都目黒区中央町2-30-23					
Puku morning&bakes	2025-05-11	東京都目黒区上目黒1-5-10 中目黒マンション					
dacō 中目黒	2024-08-06	東京都目黒区上目黒1-3-18					
flour+water 中目黒	2022-03-24	東京都目黒区青葉台1-30-10					
Les Joues de BéBé 目黒店	2022-07-07	東京都目黒区目黒1-3-15 リードシー目黒ウエストビル1F					
ペンギンベーカリー 中目黒店	2026-08-07	東京都目黒区青葉台1-27-12 サンライトビル					
mugi bagel	2025-08-17	東京都目黒区下目黒1-2-19 ネストホテルオルト目黒駅前1F					
HAL'S BAGEL. 自由が丘店	2025-11-12	東京都目黒区自由が丘1-8-23 栗山ビル1F					
Mrs.BAGEL 自由が丘本店	2026-04-06	東京都目黒区自由が丘1-26-14 オクズミビル1F					
dacō 自由が丘駅前	2025-08-30	東京都目黒区自由が丘2-11-3 2F					
dacō 自由が丘すずかけ通り	2026-06-18	東京都目黒区自由が丘1-4-10 地下1F					
ゴントラン シェリエmini 自由が丘店	2025-05-23	東京都目黒区自由が丘1-30 エトモ自由が丘					
sopo bagel 武蔵小山店	2023-09-01	東京都目黒区目黒本町5-14-14					
